comment,video_id,video_title,source_query,fetched_at
Jgn percaya Umno sbb mereka ni yg telah byk merompak negara & mengkayakan kroni,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Warihhh nih KUAT WAYANG,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"bakal calon mb negeri9 ni bila bercakap sangat tenang,kemas dan nampak nilai kepimpinan yang tinggi,sebab tu BN ni dari dulu sangat berpengalaman luas dalam memerintah negara dengan ahli politik yang matang,senang kata 1malaysia lah",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Jaga jaga nanti takut dia mengadu kat long tiger jaa ,kata laa lebih lebih dekat pak cik ni😅😂😂😂😂😂😂",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
🎉,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Takutlah tu,,,",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tok mat naik president,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"PMX bagi telago minyak, Tok Mat nak bagi apa pulak? 😂",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Mari tendang zahid..
Biar tok mat ganti jadi presiden..
Zahid seorang yang bermuka-muka..
Tajam lidah dari pisau..",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Bnyk duit resev n9 tok mat ..risau tk gunakn,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tok mat kalah ..nanti tau la level,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
BN mana tahu berdebat,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Aku dah tak cayokan lagi tokmat ni...,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tak layak,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Ingat sudage sudagi.tokmat dah mulo amalkan bancuh tongkat ali.minum satu malam 44 kali.nak kuatkan urat kaki.monang esok dio nak bantai menari sama wak jaid.fahamlah..senyum mulut jijak tolingo.wak ang tokono semua.😊😮😅🎉🎉🎉🎉❤,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
❤ Hidup UMNOBN,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"apa depat depat   tak ada keberuntungan 
kempen pun sudah memadai
terbaekk BN",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Ini nk memilih MB, lg besar peranannya berbanding pemilihan presiden. Debat lh paling baik. Kita tunjukkan manifesto dan kejayaan parti kita sepanjang pemerintahan. Semua rakyat blh dgr. Kalau takat becakap dpn penyokong sendiri mmg lah kita hero.",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
